,Date,Sum_GAP,Sum_Others,Sum_Kitchen,Sum_Laundry,Sum_Heater_AC,forecastAC,forecastK,forecastL,forecastTotal,OnlyforecastAC,OnlyforecastK,OnlyforecastL,OnlyforecastTotal
1,1/1/2007,45816.73333,39584.73333,0,352,5880,9392.962585,1486.091748,2040.728964,33553.35812,NA,NA,NA,NA
2,2/1/2007,21153.93333,14243.93333,0,348,6562,9757.625086,1573.72064,2958.391466,35746.50307,NA,NA,NA,NA
3,3/1/2007,16900.9,11791.9,0,344,4765,9634.6146,1984.004068,3347.581466,35895.41294,NA,NA,NA,NA
4,4/1/2007,54323.53333,34779.53333,1051,7597,10896,8911.567386,1541.649343,1865.311665,33000.52912,NA,NA,NA,NA
5,5/1/2007,45222.73333,35758.73333,1483,379,7602,10115.19555,1718.337012,2342.168665,34746.7709,NA,NA,NA,NA
6,6/1/2007,25139.63333,17723.63333,1336,402,5678,11023.57547,2960.011512,2924.209587,39425.65808,NA,NA,NA,NA
7,7/1/2007,40793.66667,17819.66667,1987,8177,12810,8941.108398,3190.691957,3567.655398,39143.76419,NA,NA,NA,NA
8,8/1/2007,37356,19342,0,467,17547,8937.806423,1575.583117,1893.30661,32724.96753,NA,NA,NA,NA
9,9/1/2007,31150.9,15405.9,1688,4267,9790,9305.194021,1664.788742,2807.019597,34863.72651,NA,NA,NA,NA
10,10/1/2007,35913.33333,19674.33333,771,4456,11012,9202.830716,2077.390525,3196.79762,34999.5328,NA,NA,NA,NA
11,11/1/2007,37586.56667,21623.56667,1378,2170,12415,8518.431969,1637.983885,1719.541749,32133.81247,NA,NA,NA,NA
12,12/1/2007,24354.93333,15639.93333,0,439,8276,9778.241698,1818.086905,2205.596515,33951.10738,NA,NA,NA,NA
13,13/1/2007,53113.56667,30991.56667,7806,2975,11341,10759.32426,3063.436123,2800.654854,38741.19583,NA,NA,NA,NA
14,14/1/2007,50130.26667,31163.26667,1777,4215,12975,8764.544032,3297.803997,3460.463231,38607.58305,NA,NA,NA,NA
15,15/1/2007,35811.3,17310.3,1099,2239,15163,8861.885186,1686.117882,1805.252243,32369.8279,NA,NA,NA,NA
16,16/1/2007,28106.73333,18816.73333,2063,644,6583,9340.401196,1778.182411,2740.230487,34716.93011,NA,NA,NA,NA
17,17/1/2007,47461.46667,22160.46667,3500,5737,16064,9356.798236,2192.768338,3152.695273,35081.92854,NA,NA,NA,NA
18,18/1/2007,30357.7,16530.7,0,336,13491,8795.628026,1754.158697,1698.80478,32458.97676,NA,NA,NA,NA
19,19/1/2007,24674,15069,2103,330,7172,10179.74163,1933.568315,2208.145875,34524.72325,NA,NA,NA,NA
20,20/1/2007,52228.86667,31242.86667,4324,5222,11440,11282.66989,3176.450075,2825.661507,39560.64994,NA,NA,NA,NA
21,21/1/2007,56787.7,29275.7,10346,5567,11599,9403.696148,3406.322427,3506.377926,39661.79366,NA,NA,NA,NA
22,22/1/2007,36341.56667,20943.56667,1054,2983,11361,9607.271633,1787.897704,1869.856384,33639.31035,NA,NA,NA,NA
23,23/1/2007,29627.33333,23502.33333,0,1064,5061,10179.06013,1870.812866,2820.706512,36174.10024,NA,NA,NA,NA
24,24/1/2007,49797.56667,32109.56667,3464,2480,11744,10272.61383,2273.725485,3245.71439,36691.6375,NA,NA,NA,NA
25,25/1/2007,26605.73333,13946.73333,1158,262,11239,9769.653325,1820.86561,1800.629444,34179.26463,NA,NA,NA,NA
26,26/1/2007,26966.2,17304.2,1163,261,8238,11190.6009,1983.459413,2314.743957,36307.77283,NA,NA,NA,NA
27,27/1/2007,34067.86667,16627.86667,1170,3896,12374,12307.03072,3207.037855,2932.82881,41353.9165,NA,NA,NA,NA
28,28/1/2007,51503.4,31995.4,3466,3997,12045,10416.79966,3415.26484,3609.865471,41409.28167,NA,NA,NA,NA
29,29/1/2007,33044.4,16373.4,1123,294,15254,10583.50764,1773.064361,1965.498775,35282.96433,NA,NA,NA,NA
30,30/1/2007,28463.3,17767.3,1123,1424,8149,11092.57285,1830.348303,2904.547683,37655.27334,NA,NA,NA,NA
31,31/1/2007,39395.86667,18393.86667,0,5950,15052,11097.92287,2206.107782,3314.127136,37952.59977,NA,NA,NA,NA
32,1/2/2007,30412.66667,15711.66667,1170,386,13145,10482.27441,1724.958807,1850.425322,35164.7114,NA,NA,NA,NA
33,2/2/2007,27795.6,16101.6,0,356,11338,11767.65061,1858.558282,2343.270457,36966.2938,NA,NA,NA,NA
34,3/2/2007,67162.03333,40009.03333,4746,4573,17834,12727.80001,3052.903839,2938.051065,41639.38692,NA,NA,NA,NA
35,4/2/2007,59932.33333,37472.33333,3391,4597,14472,10663.28181,3232.152152,3590.43023,41282.13931,NA,NA,NA,NA
36,5/2/2007,27421.33333,16112.33333,896,2564,7849,10640.86716,1561.735517,1920.778901,34711.33854,NA,NA,NA,NA
37,6/2/2007,21224.66667,15117.66667,1185,405,4517,10949.54379,1592.078633,2834.665969,36615.93677,NA,NA,NA,NA
38,7/2/2007,38800.3,20002.3,3299,3513,11986,10747.12651,1942.67872,3219.95886,36431.71733,NA,NA,NA,NA
39,8/2/2007,30023.56667,17274.56667,2226,366,10157,9920.448351,1438.640063,1733.579553,33158.36721,NA,NA,NA,NA
40,9/2/2007,27003.3,14188.3,0,3045,9770,10995.78377,1552.079255,2206.050723,34480.78177,NA,NA,NA,NA
41,10/2/2007,47155.46667,24848.46667,5071,2831,14405,11751.17019,2729.414905,2783.39658,38691.25723,NA,NA,NA,NA
42,11/2/2007,59520.46667,39211.46667,2430,4765,13114,9491.394925,2895.176688,3421.839429,37897.99912,NA,NA,NA,NA
43,12/2/2007,31293.5,17150.5,2227,399,11517,9287.299983,1215.113744,1742.217486,30927.41154,NA,NA,NA,NA
44,13/2/2007,23575.76667,14491.76667,0,2828,6256,9431.69395,1239.90453,2650.46214,32477.39245,NA,NA,NA,NA
45,14/2/2007,41644.53333,22977.53333,3295,3793,11579,9085.876196,1589.231438,3034.688685,31991.78661,NA,NA,NA,NA
46,15/2/2007,33089.1,16698.1,0,2363,14028,8139.749995,1088.311328,1551.945747,28477.2661,NA,NA,NA,NA
47,16/2/2007,28375.46667,17679.46667,1148,859,8689,9122.177852,1209.298374,2032.758211,29624.46975,NA,NA,NA,NA
48,17/2/2007,34615.2,23467.2,1765,2226,7157,9813.246914,2398.572965,2623.028317,33730.06105,NA,NA,NA,NA
49,18/2/2007,63829.36667,36590.36667,6107,8003,13129,7519.212806,2580.551563,3278.735889,32905.13555,NA,NA,NA,NA
50,19/2/2007,36443.56667,18824.56667,1634,2900,13085,7311.775059,920.7974534,1620.363109,25977.4452,NA,NA,NA,NA
51,20/2/2007,52498.8,35536.8,2058,5191,9713,7483.974156,969.7344034,2553.381783,27644.66581,NA,NA,NA,NA
52,21/2/2007,34547.9,17140.9,3527,2332,11548,7196.715373,1346.726426,2965.356842,27348.85995,NA,NA,NA,NA
53,22/2/2007,56157.96667,38368.96667,1409,4129,12251,6338.895899,876.6146544,1512.710867,24093.40407,NA,NA,NA,NA
54,23/2/2007,21891.33333,10602.33333,0,503,10786,7437.787933,1031.127532,2025.284041,25564.21023,NA,NA,NA,NA
55,24/2/2007,11915.36667,7990.366667,0,363,3562,8271.344728,2256.177884,2648.253664,30051.89881,NA,NA,NA,NA
56,25/2/2007,8362.333333,6373.333333,0,329,1660,6143.19671,2475.681569,3336.853677,29660.35058,NA,NA,NA,NA
57,26/2/2007,9474.733333,6313.733333,0,331,2830,6121.989373,854.677412,1710.81905,23209.10118,NA,NA,NA,NA
