year,month,day,Sub_Metering_1,Sub_Metering_2,Sub_Metering_3
2007,1,1,0,0.352,6.491
2007,1,2,0,0.341,6.562
2007,1,3,0,0.316,4.247
2007,1,4,1.051,7.617,11.414
2007,1,5,1.483,0.394,6.53
2007,1,6,1.336,0.38,6.587
2007,1,7,1.987,8.14,11.893
2007,1,8,0,0.483,18.627
2007,1,9,1.688,3.033,9.79
2007,1,10,0.771,5.733,11.012
2007,1,11,1.378,2.145,12.415
2007,1,12,0,0.428,8.276
2007,1,13,6.884,3.011,10.329
2007,1,14,2.699,4.19,12.908
2007,1,15,1.099,0.778,16.242
2007,1,16,2.063,2.121,6.583
2007,1,17,2.945,5.722,14.98
2007,1,18,0.555,0.334,14.363
2007,1,19,1.552,0.33,6.928
2007,1,20,4.875,5.243,11.896
2007,1,21,10.343,5.55,11.599
2007,1,22,1.057,2.988,11.361
2007,1,23,0,1.081,5.061
2007,1,24,3.464,2.48,11.323
2007,1,25,1.158,0.262,11.015
2007,1,26,0.587,0.236,8.346
2007,1,27,1.746,3.148,12.766
2007,1,28,3.466,4.746,12.19
2007,1,29,1.123,0.293,14.594
2007,1,30,1.123,1.389,8.809
2007,1,31,0,5.987,15.052
2007,2,1,1.17,0.396,12.06
2007,2,2,0,0.361,11.366
2007,2,3,4.746,4.571,17.826
2007,2,4,3.391,3.377,15.537
2007,2,5,0.896,3.751,7.849
2007,2,6,1.185,0.44,4.517
2007,2,7,2.731,3.521,11.986
2007,2,8,2.794,0.341,9.717
2007,2,9,0,2.972,10.21
2007,2,10,5.071,2.912,13.935
2007,2,11,2.43,4.782,12.511
2007,2,12,2.227,0.393,11.958
2007,2,13,0,2.796,5.959
2007,2,14,3.295,3.805,12.508
2007,2,15,0,2.323,12.934
2007,2,16,1.148,0.918,8.71
2007,2,17,1.765,2.188,8.23
2007,2,18,6.107,7.979,13.129
2007,2,19,1.634,2.939,13.085
2007,2,20,2.058,3.727,9.713
2007,2,21,3.062,3.809,10.462
2007,2,22,1.874,2.8,12.28
2007,2,23,0,1.813,11.843
2007,2,24,0,0.363,3.562
2007,2,25,0,0.355,1.66
2007,2,26,0,0.341,2.485
2007,2,27,0,0.307,2.269
2007,2,28,0,0.343,1.973
2007,3,1,0,0.318,1.98
2007,3,2,0,0.309,1.969
2007,3,3,0,0.347,4.597
2007,3,4,1.476,8.707,9.404
2007,3,5,5.727,12.126,10.03
2007,3,6,0,1.76,4.388
2007,3,7,1.076,4.676,15.591
2007,3,8,2.18,3.433,6.713
2007,3,9,1.093,0.382,8.807
2007,3,10,4.13,5.422,10.446
2007,3,11,4.81,3.42,10.033
2007,3,12,1.403,2.802,12.272
2007,3,13,1.35,3.351,4.68
2007,3,14,3.189,1.027,9.331
2007,3,15,0.296,3.263,11.036
2007,3,16,1.106,4.569,5.37
